POPULATIONS	DIFFERENCE_RMSE	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	0.024577786644243316	0.2	250	0.037500000000000006	0	13	CNR	wt,braf	13	0.0	0.0010897154969309747
wt_braf	0.024552921609104283	0.2	250	0.037500000000000006	0	13	CNR	wt,braf	12	0.0001	0.0010897877543489369
wt_braf	0.023546475136422683	0.2	250	0.037500000000000006	0	13	CNR	wt,braf	11	0.0005	0.0010901512015885093
wt_braf	0.02354647513642323	0.2	250	0.034375	0	13	CNR	wt,braf	11	0.001	0.0010901512015885073
wt_braf	0.02314612736528815	0.2	250	0.034375	0	13	CNR	wt,braf	9	0.0015	0.001090945324109018
wt_braf	0.021727119052265053	0.2	250	0.034375	0	13	CNR	wt,braf	6	0.002	0.0010931516814199388
wt_braf	0.021727119052265053	0.2	250	0.034375	0	13	CNR	wt,braf	6	0.0025	0.00109401050565949
wt_braf	0.019399252546870496	0.2	250	0.0328125	0	13	CNR	wt,braf	5	0.005	0.0010976158866119908
wt_braf	0.025402906911009646	0.2	250	0.03125	0	13	CNR	wt,braf	4	0.01	0.001101711444289062
wt_braf	0.025402906911009646	0.2	250	0.03125	0	13	CNR	wt,braf	4	0.02	0.001101711444289062
wt_braf	0.025402906911009646	0.2	250	0.03125	0	13	CNR	wt,braf	4	0.03	0.001101711444289062
wt_braf	0.04166948580557644	0.2	250	0.03125	0	13	CNR	wt,braf	3	0.06	0.001131400365691364
wt_braf	0.04164380925626183	0.2	250	0.03125	0	13	CNR	wt,braf	3	0.1	0.0011608046746806203
wt_braf	0.04164380925626183	0.2	250	0.03125	0	13	CNR	wt,braf	3	0.25	0.0011608046746806203
wt_braf	0.04164380925626183	0.2	250	0.03125	0	13	CNR	wt,braf	3	0.3	0.0011608046746806203
wt_braf	0.10703664037947372	0.2	250	0.07500000000000001	0	13	CNR	wt,braf	1	0.4	0.0014283945133076886
wt_braf	0.10703664037947372	0.2	250	0.07500000000000001	0	13	CNR	wt,braf	1	0.5	0.0014283945133076886
wt_braf	0.1370893222001881	0.2	250	0.07500000000000001	0	13	CNR	wt,braf	0	0.75	0.0019051298133849492
wt_braf	0.1370893222001881	0.2	250	0.07500000000000001	0	13	CNR	wt,braf	0	1.0	0.0019051298133849492
wt_ras	0.01795939666381711	0.2	250	0.05	0	13	CNR	wt,ras	13	0.0	0.0011765418185298655
wt_ras	0.017962524102327078	0.2	250	0.05	0	13	CNR	wt,ras	13	0.0001	0.0011765903289188543
wt_ras	0.01814991893327782	0.2	250	0.05	0	13	CNR	wt,ras	11	0.0005	0.0011770580160653315
wt_ras	0.016157730937245922	0.2	250	0.05	0	13	CNR	wt,ras	10	0.001	0.0011775456804410576
wt_ras	0.01579047103577424	0.2	250	0.05	0	13	CNR	wt,ras	9	0.0015	0.0011779384005163325
wt_ras	0.015877995001186966	0.2	250	0.05	0	13	CNR	wt,ras	9	0.002	0.0011791890707562981
wt_ras	0.015801401194445595	0.2	250	0.0625	0	13	CNR	wt,ras	8	0.0025	0.0011809071482202906
wt_ras	0.024223227687656473	0.2	250	0.0625	0	13	CNR	wt,ras	6	0.005	0.0011865290810334805
wt_ras	0.02180624315136609	0.2	250	0.0625	0	13	CNR	wt,ras	5	0.01	0.0011904057874112424
wt_ras	0.025573388843809573	0.2	250	0.0625	0	13	CNR	wt,ras	4	0.02	0.0011943941015907272
wt_ras	0.025573388843809573	0.2	250	0.053125000000000006	0	13	CNR	wt,ras	4	0.03	0.0011943941015907277
wt_ras	0.03668570284076922	0.2	250	0.051562500000000004	0	13	CNR	wt,ras	2	0.06	0.0012223478350496194
wt_ras	0.03668570284076922	0.2	250	0.051562500000000004	0	13	CNR	wt,ras	2	0.1	0.0012223478350496194
wt_ras	0.07104509426041122	0.2	250	0.051562500000000004	0	13	CNR	wt,ras	1	0.25	0.0013157558944797288
wt_ras	0.07104509426041122	0.2	250	0.051562500000000004	0	13	CNR	wt,ras	1	0.3	0.0013157558944797288
wt_ras	0.09752999595527005	0.2	250	0.07500000000000001	0	13	CNR	wt,ras	0	0.4	0.0014526446614769402
wt_ras	0.09752999595527005	0.2	250	0.07500000000000001	0	13	CNR	wt,ras	0	0.5	0.0014526446614769402
wt_ras	0.09752999595527005	0.2	250	0.07500000000000001	0	13	CNR	wt,ras	0	0.75	0.0014526446614769402
wt_ras	0.09752999595527005	0.2	250	0.07500000000000001	0	13	CNR	wt,ras	0	1.0	0.0014526446614769402
WT_BRAF	0.038886963080427925	0.2	250	0.025	0	13	MRA	WT:wt_braf	0	NO_THETA	0.001121724252468073
WT_RAS	0.07625846659404778	0.2	250	0.025	0	13	MRA	WT:wt_ras	0	NO_THETA	0.0014674502425296586
